Participant,Condition,Sure old,Probable old,Possible old,Possible new,Probable new,Sure new
1,New,7,13,16,17,19,48
1,Foc-1,7,2,4,1,2,4
1,Foc-2,6,3,3,1,6,1
1,Foc-4,9,4,0,5,1,1
1,Div-1,4,2,3,4,3,4
1,Div-2,5,5,1,1,3,5
1,Div-4,8,4,2,1,3,2
2,New,1,2,9,13,23,72
2,Foc-1,16,0,1,2,1,0
2,Foc-2,20,0,0,0,0,0
2,Foc-4,20,0,0,0,0,0
2,Div-1,16,1,1,0,1,1
2,Div-2,17,1,1,0,1,0
2,Div-4,20,0,0,0,0,0
3,New,4,5,2,19,31,59
3,Foc-1,15,1,0,0,2,2
3,Foc-2,19,1,0,0,0,0
3,Foc-4,20,0,0,0,0,0
3,Div-1,14,3,0,1,0,2
3,Div-2,16,3,0,0,1,0
3,Div-4,20,0,0,0,0,0
4,New,1,15,42,28,26,8
4,Foc-1,5,6,6,2,0,1
4,Foc-2,7,9,2,2,0,0
4,Foc-4,14,5,0,1,0,0
4,Div-1,2,4,2,8,4,0
4,Div-2,3,4,4,5,4,0
4,Div-4,5,3,6,3,3,0
5,New,17,15,18,17,10,43
5,Foc-1,5,3,4,2,1,5
5,Foc-2,9,3,2,3,2,1
5,Foc-4,13,2,2,1,2,0
5,Div-1,7,1,3,4,1,4
5,Div-2,12,3,1,2,0,2
5,Div-4,7,3,3,3,2,2
6,New,0,10,14,19,39,38
6,Foc-1,14,4,0,1,1,0
6,Foc-2,16,3,0,0,0,1
6,Foc-4,20,0,0,0,0,0
6,Div-1,6,3,1,2,3,5
6,Div-2,13,1,2,1,3,0
6,Div-4,18,1,0,1,0,0
7,New,1,15,12,30,32,30
7,Foc-1,4,2,5,6,3,0
7,Foc-2,10,7,3,0,0,0
7,Foc-4,12,6,2,0,0,0
7,Div-1,9,5,4,1,1,0
7,Div-2,7,4,5,1,3,0
7,Div-4,7,7,2,3,1,0
8,New,5,22,25,25,24,19
8,Foc-1,3,7,4,3,3,0
8,Foc-2,6,8,4,0,2,0
8,Foc-4,14,4,2,0,0,0
8,Div-1,6,3,3,4,2,2
8,Div-2,6,5,7,1,1,0
8,Div-4,13,3,3,1,0,0
9,New,1,3,5,16,29,66
9,Foc-1,9,5,1,1,2,2
9,Foc-2,11,5,2,1,1,0
9,Foc-4,14,3,3,0,0,0
9,Div-1,6,5,3,0,1,5
9,Div-2,9,4,3,1,1,2
9,Div-4,14,4,1,1,0,0
10,New,0,22,19,30,26,23
10,Foc-1,2,4,5,4,5,0
10,Foc-2,7,3,7,1,2,0
10,Foc-4,8,3,3,3,3,0
10,Div-1,1,4,3,6,4,2
10,Div-2,3,5,5,2,2,3
10,Div-4,2,6,6,2,4,0
11,New,7,3,18,17,33,42
11,Foc-1,10,1,2,3,3,1
11,Foc-2,7,6,3,1,3,0
11,Foc-4,15,3,2,0,0,0
11,Div-1,7,3,3,4,2,1
11,Div-2,7,2,3,2,3,3
11,Div-4,8,4,5,1,1,1
12,New,1,4,9,18,38,50
12,Foc-1,8,3,4,2,2,1
12,Foc-2,14,4,0,2,0,0
12,Foc-4,15,4,0,1,0,0
12,Div-1,6,3,4,3,4,0
12,Div-2,3,6,3,4,1,3
12,Div-4,12,2,3,1,2,0
13,New,4,1,11,22,3,79
13,Foc-1,9,1,3,5,0,2
13,Foc-2,11,0,0,3,1,5
13,Foc-4,12,0,1,4,0,3
13,Div-1,5,0,1,4,2,8
13,Div-2,9,0,1,7,0,3
13,Div-4,9,0,5,3,0,3
14,New,5,10,17,23,28,37
14,Foc-1,7,3,4,3,2,1
14,Foc-2,10,6,1,1,1,1
14,Foc-4,13,5,1,0,1,0
14,Div-1,3,4,3,3,2,5
14,Div-2,3,6,1,6,4,0
14,Div-4,5,3,4,0,5,3
15,New,1,5,22,22,31,39
15,Foc-1,13,3,2,0,0,2
15,Foc-2,15,1,2,1,1,0
15,Foc-4,16,1,2,0,0,1
15,Div-1,6,7,2,3,1,1
15,Div-2,9,5,1,1,2,2
15,Div-4,7,8,3,1,1,0
16,New,0,5,11,21,27,56
16,Foc-1,10,4,0,3,0,3
16,Foc-2,13,0,2,4,1,0
16,Foc-4,19,1,0,0,0,0
16,Div-1,9,3,1,2,1,4
16,Div-2,11,1,3,5,0,0
16,Div-4,16,1,1,2,0,0
17,New,5,12,13,27,30,33
17,Foc-1,6,3,6,3,0,2
17,Foc-2,7,6,4,2,0,1
17,Foc-4,8,5,4,1,2,0
17,Div-1,3,5,4,2,5,1
17,Div-2,6,3,4,4,1,2
17,Div-4,5,5,5,2,2,1
18,New,15,17,22,30,21,15
18,Foc-1,1,8,2,3,3,3
18,Foc-2,8,6,2,2,1,1
18,Foc-4,15,4,0,0,1,0
18,Div-1,3,5,3,5,3,1
18,Div-2,4,6,6,3,0,1
18,Div-4,7,7,4,0,0,2
19,New,1,3,5,39,39,33
19,Foc-1,8,4,5,2,0,1
19,Foc-2,12,4,2,1,1,0
19,Foc-4,11,4,5,0,0,0
19,Div-1,5,4,3,4,4,0
