Participant,Condition,Sure old,Probable old,Possible old,Possible new,Probable new,Sure new
1,New,12,13,7,24,24,40
1,Read-1,3,5,2,3,5,2
1,Read-2,8,6,2,2,0,2
1,Read-3,9,6,3,0,2,0
1,Gen-1,6,4,2,2,3,3
1,Gen-2,10,4,1,4,0,1
1,Gen-3,13,2,2,0,1,2
2,New,0,2,3,6,15,94
2,Read-1,5,2,2,6,2,3
2,Read-2,11,0,5,1,2,1
2,Read-3,17,0,1,0,1,1
2,Gen-1,13,1,3,0,3,0
2,Gen-2,19,0,0,0,1,0
2,Gen-3,19,0,0,0,0,1
3,New,0,7,19,18,30,46
3,Read-1,0,5,6,3,4,2
3,Read-2,5,6,3,4,1,1
3,Read-3,9,4,1,2,4,0
3,Gen-1,8,2,2,2,5,1
3,Gen-2,15,2,1,2,0,0
3,Gen-3,20,0,0,0,0,0
4,New,9,17,6,17,34,37
4,Read-1,4,1,1,3,5,6
4,Read-2,4,5,2,2,5,2
4,Read-3,10,3,4,2,0,1
4,Gen-1,12,3,0,0,3,2
4,Gen-2,18,1,0,0,1,0
4,Gen-3,19,0,1,0,0,0
5,New,4,5,1,4,32,74
5,Read-1,14,2,0,0,2,2
5,Read-2,18,0,0,0,2,0
5,Read-3,19,0,1,0,0,0
5,Gen-1,14,0,0,0,2,4
5,Gen-2,19,0,0,0,0,1
5,Gen-3,17,1,0,0,1,1
6,New,1,7,7,10,32,63
6,Read-1,9,0,3,3,2,3
6,Read-2,16,1,0,0,1,2
6,Read-3,14,3,1,0,1,1
6,Gen-1,14,0,0,1,2,3
6,Gen-2,14,1,1,1,0,3
6,Gen-3,17,1,0,0,2,0
7,New,3,1,3,8,15,90
7,Read-1,11,1,2,2,0,4
7,Read-2,17,0,1,0,1,1
7,Read-3,15,0,0,0,0,5
7,Gen-1,14,0,2,1,0,3
7,Gen-2,20,0,0,0,0,0
7,Gen-3,18,0,0,1,0,1
8,New,0,0,8,42,38,32
8,Read-1,4,1,7,3,3,2
8,Read-2,4,10,4,1,1,0
8,Read-3,6,8,2,2,1,1
8,Gen-1,3,3,8,3,1,2
8,Gen-2,5,5,8,1,0,1
8,Gen-3,7,7,5,1,0,0
9,New,1,1,4,43,39,32
9,Read-1,4,0,6,6,4,0
9,Read-2,5,5,6,2,1,1
9,Read-3,7,6,4,1,2,0
9,Gen-1,7,2,3,3,4,1
9,Gen-2,4,5,4,1,3,3
9,Gen-3,8,8,3,0,0,1
10,New,1,5,14,35,35,30
10,Read-1,7,4,1,2,5,1
10,Read-2,7,7,2,3,0,1
10,Read-3,9,2,2,3,3,1
10,Gen-1,2,4,4,5,2,3
10,Gen-2,3,5,1,5,4,2
10,Gen-3,3,4,5,3,5,0
11,New,1,3,11,17,36,52
11,Read-1,14,3,1,1,0,1
11,Read-2,19,1,0,0,0,0
11,Read-3,20,0,0,0,0,0
11,Gen-1,17,0,0,1,1,1
11,Gen-2,19,1,0,0,0,0
11,Gen-3,20,0,0,0,0,0
12,New,6,8,12,34,35,25
12,Read-1,4,1,5,3,3,4
12,Read-2,6,3,3,3,3,2
12,Read-3,7,3,6,2,2,0
12,Gen-1,7,6,2,2,1,2
12,Gen-2,13,7,0,0,0,0
12,Gen-3,13,4,3,0,0,0
13,New,2,1,10,36,33,38
13,Read-1,6,5,4,1,1,3
13,Read-2,10,7,2,1,0,0
13,Read-3,13,2,4,1,0,0
13,Gen-1,5,7,5,2,0,1
13,Gen-2,11,4,3,0,2,0
13,Gen-3,13,7,0,0,0,0
14,New,3,9,15,22,33,38
14,Read-1,9,1,3,3,3,1
14,Read-2,13,3,2,1,1,0
14,Read-3,19,0,0,1,0,0
14,Gen-1,13,1,1,2,1,2
14,Gen-2,14,0,4,1,1,0
14,Gen-3,13,1,1,3,2,0
15,New,5,5,7,23,30,50
15,Read-1,10,5,3,1,1,0
15,Read-2,13,3,2,1,1,0
15,Read-3,16,1,3,0,0,0
15,Gen-1,6,5,1,1,3,4
15,Gen-2,12,6,0,0,1,1
15,Gen-3,10,3,1,1,2,3
16,New,1,3,2,19,22,73
16,Read-1,6,1,3,4,3,3
16,Read-2,8,2,5,1,1,3
16,Read-3,9,0,1,0,4,6
16,Gen-1,10,5,1,1,2,1
16,Gen-2,16,2,1,0,0,1
